J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,6.91,6.91,3,7.28,7.28,1,6.89,6.89,4,7.33,7.33
2,9.03,15.94,4,8.90,16.18,1,8.98,15.87,3,8.78,16.11
2,8.57,24.51,4,8.55,24.73,1,8.58,24.45,3,8.48,24.59
1,8.60,33.11,4,8.59,33.32,3,8.77,33.22,2,8.61,33.20
1,8.75,41.858,2,9.08,42.394,3,19.21,52.427,0,,PEN
