Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,6.94,6.94,3,7.22,7.22,2,7.15,7.15,5,7.32,7.32,4,7.31,7.31
1,9.09,16.03,2,9.14,16.36,3,9.32,16.47,4,9.43,16.75,5,14.00,21.31
1,8.79,24.82,2,8.61,24.97,3,8.70,25.17,4,8.71,25.46,5,17.60,38.91
2,9.09,33.91,1,8.83,33.80,3,8.80,33.97,4,8.78,34.24,5,12.11,51.02
2,9.20,43.106,1,9.30,43.098,3,9.24,43.207,4,9.10,43.339,5,12.34,1:03.357
