Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,SOKOLOV Mikhail POSITION,SOKOLOV Mikhail LAP TIME,SOKOLOV Mikhail ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Vitali BAZYLENKO POSITION,Vitali BAZYLENKO LAP TIME,Vitali BAZYLENKO ELAPSED TIME,TOMONO Kiyotaka POSITION,TOMONO Kiyotaka LAP TIME,TOMONO Kiyotaka ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,David GROSSENBACHER POSITION,David GROSSENBACHER LAP TIME,David GROSSENBACHER ELAPSED TIME
0,16.287,16.287,0,17.141,17.141,0,16.447,16.447,0,26.992,26.992,0,17.161,17.161,0,17.047,17.047,0,16.718,16.718,0,15.733,15.733
0,11.101,27.388,0,10.774,27.915,0,10.281,26.728,0,,,0,10.775,27.937,0,10.232,27.279,0,10.879,27.596,0,10.952,26.685
0,10.531,37.919,0,10.754,38.669,0,11.095,37.823,0,,37.907,0,10.727,38.664,0,10.791,38.069,0,10.754,38.350,0,11.018,37.703
0,11.001,48.920,0,11.113,49.781,0,11.239,49.062,0,11.330,49.236,0,11.000,49.663,0,10.971,49.040,0,11.246,49.596,0,11.056,48.758
0,11.255,1:00.175,0,11.316,1:01.098,0,10.849,59.911,0,10.851,1:00.087,0,10.995,1:00.659,0,10.907,59.947,0,10.601,1:00.197,0,11.069,59.827
0,10.753,1:10.927,0,11.393,1:12.491,0,10.955,1:10.866,0,11.117,1:11.204,0,10.969,1:11.628,0,10.984,1:10.931,0,10.886,1:11.084,0,10.941,1:10.768
0,11.468,1:22.396,0,11.573,1:24.064,0,11.304,1:22.171,0,11.515,1:22.719,0,11.307,1:22.935,0,11.420,1:22.351,0,11.510,1:22.594,0,11.277,1:22.044
0,11.200,1:33.595,0,11.674,1:35.738,0,11.258,1:33.428,0,11.142,1:33.861,0,10.808,1:33.743,0,11.183,1:33.534,0,11.281,1:33.874,0,11.378,1:33.423
0,11.946,1:45.541,0,11.868,1:47.606,0,12.206,1:45.635,0,11.897,1:45.758,0,12.442,1:46.186,0,12.203,1:45.737,0,11.834,1:45.708,0,12.135,1:45.558
0,11.822,1:57.363,0,12.004,1:59.610,0,12.302,1:57.937,0,11.972,1:57.730,0,12.120,1:58.305,0,12.033,1:57.770,0,11.860,1:57.568,0,12.179,1:57.737
0,13.013,2:10.377,0,11.756,2:11.367,0,12.840,2:10.777,0,13.395,2:11.125,0,12.961,2:11.267,0,12.966,2:10.737,0,13.116,2:10.684,0,13.383,2:11.120
0,11.439,2:21.815,0,11.459,2:22.825,0,11.226,2:22.003,0,11.030,2:22.155,0,11.065,2:22.332,0,9.729,2:20.466,0,11.199,2:21.883,0,10.638,2:21.758
0,10.546,2:32.361,0,11.646,2:34.472,0,8.907,2:30.910,0,10.797,2:32.953,0,10.461,2:32.793,0,9.831,2:30.297,0,10.566,2:32.449,0,10.570,2:32.328
0,11.053,2:43.414,0,11.393,2:45.865,0,9.694,2:40.604,0,11.156,2:44.109,0,11.080,2:43.874,0,10.077,2:40.373,0,11.042,2:43.491,0,11.144,2:43.473
0,11.451,2:54.865,0,11.323,2:57.188,0,10.065,2:50.669,0,11.191,2:55.300,0,11.322,2:55.196,0,10.103,2:50.477,0,11.407,2:54.897,0,11.622,2:55.094
0,10.980,3:05.845,0,11.606,3:08.794,0,10.066,3:00.735,0,13.823,3:09.123,0,11.121,3:06.317,0,10.419,3:00.895,0,11.233,3:06.130,0,10.968,3:06.063
0,10.888,3:16.733,0,11.951,3:20.745,0,10.274,3:11.008,0,7.792,3:16.915,0,10.923,3:17.239,0,10.108,3:11.003,0,10.780,3:16.911,0,11.124,3:17.187
0,11.476,3:28.209,0,12.104,3:32.849,0,10.320,3:21.328,0,11.827,3:28.742,0,11.500,3:28.739,0,10.334,3:21.337,0,11.806,3:28.716,0,11.316,3:28.503
0,11.996,3:40.205,0,12.015,3:44.864,0,10.594,3:31.922,0,11.644,3:40.386,0,11.791,3:40.530,0,10.497,3:31.834,0,11.619,3:40.335,0,11.669,3:40.172
0,11.205,3:51.411,0,11.606,3:56.470,0,10.601,3:42.523,0,10.940,3:51.326,0,11.295,3:51.825,0,10.682,3:42.515,0,11.693,3:52.028,0,11.607,3:51.779
0,10.437,4:01.848,0,11.568,4:08.038,0,10.642,3:53.164,0,10.361,4:01.686,0,10.534,4:02.359,0,10.661,3:53.176,0,10.818,4:02.846,0,11.516,4:03.294
0,10.699,4:12.546,0,11.957,4:19.995,0,10.685,4:03.849,0,10.518,4:12.204,0,10.589,4:12.948,0,10.804,4:03.980,0,11.359,4:14.204,0,10.880,4:14.174
0,10.590,4:23.136,0,12.271,4:32.266,0,10.523,4:14.372,0,10.653,4:22.857,0,10.441,4:23.389,0,10.523,4:14.503,0,24.392,4:38.597,0,11.138,4:25.312
0,13.356,4:36.492,0,13.064,4:45.330,0,10.993,4:25.365,0,10.611,4:33.468,0,10.995,4:34.384,0,11.614,4:26.117,0,12.386,4:50.983,0,10.980,4:36.291
0,19.219,4:55.711,0,13.002,4:58.333,0,11.112,4:36.478,0,10.519,4:43.987,0,11.937,4:46.321,0,11.542,4:37.659,0,12.509,5:03.492,0,11.440,4:47.732
0,16.401,5:12.112,0,13.057,5:11.390,0,11.479,4:47.957,0,10.880,4:54.866,0,11.650,4:57.971,0,12.050,4:49.710,0,12.880,5:16.372,0,11.455,4:59.187
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
