Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME
1,12.70,12.70,4,12.97,12.97,2,12.86,12.86,3,12.93,12.93
2,9.95,22.65,4,9.87,22.84,3,9.90,22.76,1,9.61,22.54
1,9.41,32.06,4,9.62,32.46,3,9.61,32.37,2,9.70,32.24
1,9.26,41.32,4,9.17,41.63,3,9.14,41.51,2,9.16,41.40
1,9.28,50.60,4,9.36,50.99,3,9.30,50.81,2,9.27,50.67
2,9.08,59.68,4,8.99,59.98,3,8.97,59.78,1,8.98,59.65
3,9.41,1:09.09,4,9.45,1:09.43,2,9.13,1:08.91,1,9.19,1:08.84
3,9.39,1:18.48,4,9.15,1:18.58,1,8.99,1:17.90,2,9.53,1:18.37
2,9.50,1:27.971,3,9.40,1:27.973,1,9.45,1:27.349,4,10.07,1:28.433
