Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
4,10.84,10.84,5,10.97,10.97,6,11.07,11.07,3,10.68,10.68,1,10.57,10.57,2,10.60,10.60
4,14.00,24.84,5,14.00,24.97,6,14.02,25.09,3,13.99,24.67,1,13.85,24.42,2,13.93,24.53
4,13.62,38.46,5,13.64,38.61,6,13.64,38.73,3,13.56,38.23,1,13.54,37.96,2,13.53,38.06
4,13.39,51.85,5,13.38,51.99,6,13.30,52.03,3,13.45,51.68,1,13.47,51.43,2,13.48,51.54
4,13.14,1:04.99,5,13.13,1:05.12,6,13.23,1:05.26,3,13.14,1:04.82,1,13.09,1:04.52,2,13.10,1:04.64
2,11.92,1:16.91,4,11.97,1:17.09,6,11.96,1:17.22,5,12.27,1:17.09,1,12.34,1:16.86,3,12.34,1:16.98
2,10.49,1:27.40,3,10.40,1:27.49,6,10.49,1:27.71,4,10.41,1:27.50,1,10.49,1:27.35,5,10.60,1:27.58
3,10.22,1:37.62,2,10.11,1:37.60,6,10.12,1:37.83,4,10.22,1:37.72,1,10.19,1:37.54,5,10.17,1:37.75
3,9.89,1:47.51,1,9.71,1:47.31,4,9.77,1:47.60,5,9.88,1:47.60,2,9.86,1:47.40,6,9.96,1:47.71
3,9.77,1:57.28,2,9.84,1:57.15,6,31.09,2:18.69,4,9.77,1:57.37,1,9.64,1:57.04,5,9.80,1:57.51
4,9.89,2:07.17,2,9.86,2:07.01,6,14.11,2:32.80,3,9.64,2:07.01,1,9.86,2:06.90,5,9.80,2:07.31
4,9.87,2:17.04,3,10.00,2:17.01,6,12.23,2:45.03,2,9.87,2:16.88,1,9.88,2:16.78,5,9.96,2:17.27
1,9.60,2:26.64,4,9.87,2:26.88,6,11.93,2:56.96,3,9.88,2:26.76,2,9.87,2:26.65,5,10.39,2:27.66
1,9.72,2:36.351,3,9.78,2:36.658,5,13.44,3:10.392,0,,PEN,2,9.95,2:36.592,4,10.94,2:38.599
