GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
2,12.088,12.088,3,12.364,12.364,1,11.795,11.795
3,9.620,21.708,2,9.194,21.557,1,9.540,21.334
3,9.099,30.806,2,9.127,30.684,1,8.996,30.330
3,9.116,39.922,2,9.093,39.776,1,9.115,39.445
3,9.175,49.097,2,9.101,48.877,1,8.788,48.232
3,8.989,58.085,2,9.000,57.877,1,9.225,57.457
3,9.117,1:07.202,2,9.106,1:06.982,1,9.257,1:06.713
3,9.219,1:16.420,2,9.024,1:16.005,1,9.174,1:15.887
3,9.105,1:25.525,1,9.311,1:25.315,2,9.495,1:25.381
3,9.306,1:34.830,2,9.387,1:34.702,1,8.431,1:33.812
3,9.316,1:44.146,2,9.293,1:43.995,1,9.086,1:42.897
3,8.968,1:53.113,2,9.082,1:53.076,1,9.178,1:52.075
3,9.173,2:02.286,2,9.047,2:02.123,1,9.369,2:01.444
3,9.012,2:11.298,1,8.723,2:10.845,2,9.622,2:11.065
3,9.082,2:20.380,2,9.152,2:19.996,1,8.779,2:19.843
3,9.160,2:29.539,2,9.241,2:29.237,1,9.273,2:29.116
3,9.264,2:38.803,2,9.225,2:38.462,1,9.090,2:38.206
3,9.001,2:47.804,2,9.135,2:47.596,1,9.305,2:47.510
3,9.176,2:56.979,2,9.123,2:56.719,1,9.098,2:56.608
3,8.909,3:05.887,1,8.805,3:05.523,2,9.027,3:05.635
3,9.251,3:15.138,2,9.544,3:15.066,1,9.211,3:14.845
2,9.116,3:24.254,3,9.635,3:24.701,1,9.274,3:24.119
2,9.215,3:33.468,3,9.287,3:33.988,1,8.607,3:32.726
2,9.272,3:42.740,3,9.454,3:43.442,1,9.260,3:41.986
2,9.019,3:51.759,3,8.863,3:52.305,1,9.361,3:51.346
2,9.465,4:01.223,3,9.019,4:01.323,1,8.784,4:00.130
2,9.174,4:10.396,3,9.207,4:10.529,1,8.962,4:09.092
2,8.979,4:19.374,3,9.350,4:19.878,1,9.577,4:18.669
2,9.579,4:28.953,3,9.353,4:29.230,1,9.301,4:27.970
2,9.320,4:38.272,3,9.300,4:38.529,1,9.448,4:37.417
2,9.550,4:47.822,3,9.562,4:48.091,1,9.001,4:46.418
3,9.617,4:57.439,2,9.341,4:57.431,1,9.531,4:55.949
3,9.218,5:06.657,2,9.018,5:06.449,1,8.704,5:04.652
2,9.558,5:16.214,3,14.590,5:21.039,1,9.633,5:14.285
2,10.057,5:26.271,3,11.171,5:32.210,1,9.538,5:23.823
2,10.399,5:36.669,3,9.799,5:42.009,1,9.260,5:33.082
2,9.972,5:46.641,3,10.289,5:52.297,1,9.869,5:42.950
2,9.905,5:56.545,3,10.550,6:02.847,1,9.526,5:52.475
2,9.703,6:06.248,3,10.953,6:13.799,1,9.468,6:01.943
2,9.637,6:15.885,3,10.133,6:23.932,1,9.959,6:11.901
2,10.096,6:25.980,3,9.828,6:33.759,1,9.144,6:21.045
2,10.181,6:36.161,3,10.392,6:44.151,1,9.873,6:30.918
2,10.451,6:46.611,3,10.102,6:54.252,1,9.540,6:40.457
2,10.285,6:56.896,3,9.721,7:03.972,1,10.832,6:51.288
2,10.97,7:07.858,3,11.19,7:15.154,1,11.23,7:02.515
