Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Miwako YAMAURA POSITION,Miwako YAMAURA LAP TIME,Miwako YAMAURA ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,JEON Ji-Soo POSITION,JEON Ji-Soo LAP TIME,JEON Ji-Soo ELAPSED TIME
1,13.61,13.61,3,13.83,13.83,4,13.95,13.95,2,13.75,13.75
1,10.61,24.22,4,10.88,24.71,3,10.73,24.68,2,10.59,24.34
1,10.61,34.83,3,10.33,35.04,4,10.48,35.16,2,10.59,34.93
2,10.44,45.27,3,10.37,45.41,4,10.38,45.54,1,10.18,45.11
2,10.13,55.40,4,10.15,55.56,3,10.02,55.56,1,10.16,55.27
2,9.93,1:05.33,3,10.34,1:05.90,4,10.46,1:06.02,1,10.02,1:05.29
1,9.59,1:14.92,3,10.09,1:15.99,4,10.07,1:16.09,2,9.72,1:15.01
1,9.75,1:24.67,3,10.37,1:26.36,4,10.36,1:26.45,2,9.76,1:24.77
1,9.80,1:34.469,3,10.75,1:37.109,4,10.72,1:37.164,2,9.78,1:34.550
