Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME
1,13.08,13.08,2,13.18,13.18,3,13.32,13.32,4,13.44,13.44
2,10.08,23.16,1,9.87,23.05,4,9.99,23.31,3,9.86,23.30
2,9.46,32.62,1,9.50,32.55,4,9.52,32.83,3,9.44,32.74
2,9.65,42.27,1,9.63,42.18,4,9.66,42.49,3,9.66,42.40
2,9.74,52.01,1,9.76,51.94,4,9.80,52.29,3,9.79,52.19
2,9.89,1:01.90,1,9.87,1:01.81,4,9.84,1:02.13,3,9.88,1:02.07
2,9.88,1:11.78,1,9.88,1:11.69,4,9.90,1:12.03,3,9.95,1:12.02
2,10.01,1:21.79,1,10.02,1:21.71,3,9.90,1:21.93,4,10.31,1:22.33
2,10.16,1:31.945,1,10.18,1:31.883,3,10.07,1:31.999,4,10.76,1:33.082
