BIRO Kristina POSITION,BIRO Kristina LAP TIME,BIRO Kristina ELAPSED TIME,YEO Soo-Yeon POSITION,YEO Soo-Yeon LAP TIME,YEO Soo-Yeon ELAPSED TIME,BARANOVA Oxana POSITION,BARANOVA Oxana LAP TIME,BARANOVA Oxana ELAPSED TIME
1,14.644,14.644,2,14.838,14.838,3,14.904,14.904
2,11.307,25.950,3,11.168,26.006,1,11.040,25.944
1,10.271,36.221,2,10.404,36.409,3,10.658,36.601
2,10.382,46.602,1,9.978,46.387,3,10.049,46.649
2,10.428,57.030,1,10.426,56.813,3,10.425,57.074
2,10.368,1:07.398,1,10.578,1:07.390,3,10.611,1:07.685
2,10.522,1:17.920,1,9.851,1:17.241,3,10.619,1:18.304
3,25.691,1:43.610,1,10.270,1:27.510,2,11.137,1:29.440
3,17.26,2:00.868,1,10.85,1:38.357,2,11.51,1:40.943
