Tunde BALAZS POSITION,Tunde BALAZS LAP TIME,Tunde BALAZS ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME
2,20.33,20.33,4,20.71,20.71,3,20.43,20.43,1,20.17,20.17
2,14.58,34.91,3,14.26,34.97,4,14.76,35.19,1,14.59,34.76
2,14.00,48.91,1,13.74,48.71,4,14.02,49.21,3,14.29,49.05
3,12.42,1:01.33,1,12.18,1:00.89,4,12.62,1:01.83,2,12.23,1:01.28
1,10.56,1:11.89,4,11.81,1:12.70,3,10.54,1:12.37,2,10.70,1:11.98
4,33.15,1:45.04,3,10.79,1:23.49,2,10.27,1:22.64,1,10.41,1:22.39
4,14.20,1:59.24,2,9.33,1:32.82,3,10.43,1:33.07,1,10.31,1:32.70
4,11.81,2:11.05,2,10.03,1:42.85,1,9.54,1:42.61,3,10.85,1:43.55
4,11.75,2:22.797,2,10.10,1:52.946,1,9.49,1:52.095,3,11.20,1:54.744
