WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME
1,14.04,14.04,2,14.08,14.08,3,14.15,14.15,4,14.29,14.29
3,10.41,24.46,2,10.35,24.43,1,10.16,24.32,4,10.20,24.49
3,9.88,34.34,2,9.86,34.30,1,9.91,34.23,4,10.03,34.53
3,10.09,44.44,1,10.00,44.31,2,10.10,44.33,4,9.99,44.52
3,10.30,54.74,2,10.38,54.69,1,10.24,54.58,4,10.26,54.79
2,10.30,1:05.04,3,10.45,1:05.14,1,10.36,1:04.94,4,10.42,1:05.22
1,10.18,1:15.23,2,10.12,1:15.26,3,10.40,1:15.35,4,10.35,1:15.57
1,10.07,1:25.30,2,10.05,1:25.32,3,10.32,1:25.67,4,10.59,1:26.17
1,10.46,1:35.754,2,10.57,1:35.888,3,10.68,1:36.349,4,11.06,1:37.228
