NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,VOLKOVITSKAYA Alyona POSITION,VOLKOVITSKAYA Alyona LAP TIME,VOLKOVITSKAYA Alyona ELAPSED TIME
2,7.54,7.54,1,7.38,7.38,3,7.65,7.65,4,7.88,7.88
2,9.48,17.02,1,9.55,16.93,3,9.43,17.08,4,9.76,17.64
2,9.13,26.15,1,9.14,26.07,3,9.14,26.22,4,9.40,27.04
1,9.33,35.48,3,9.44,35.51,2,9.28,35.50,4,9.41,36.45
1,9.09,44.57,3,9.59,45.10,2,9.44,44.94,4,9.78,46.23
