Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Robin van STEEN POSITION,Robin van STEEN LAP TIME,Robin van STEEN ELAPSED TIME
2,13.45,13.45,1,13.39,13.39,4,13.69,13.69,3,13.47,13.47
3,10.67,24.12,1,10.48,23.87,4,10.55,24.24,2,10.49,23.96
1,9.76,33.88,2,10.10,33.97,4,9.96,34.20,3,10.12,34.08
1,9.80,43.68,3,10.05,44.02,4,9.84,44.04,2,9.78,43.86
1,9.57,53.25,4,9.61,53.63,3,9.37,53.41,2,9.55,53.41
1,9.32,1:02.57,3,9.20,1:02.83,2,9.27,1:02.68,4,9.84,1:03.25
1,9.29,1:11.86,3,9.24,1:12.07,2,9.29,1:11.97,4,9.98,1:13.23
1,9.41,1:21.27,3,9.41,1:21.48,2,9.40,1:21.37,4,10.24,1:23.47
1,9.47,1:30.740,0,,PEN,2,10.54,1:31.910,3,10.99,1:34.456
