SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Sarah CHEN POSITION,Sarah CHEN LAP TIME,Sarah CHEN ELAPSED TIME
3,7.48,7.48,2,7.29,7.29,1,7.15,7.15,4,7.60,7.60
3,9.33,16.81,2,9.43,16.72,1,9.46,16.61,4,9.33,16.93
1,8.73,25.54,3,9.00,25.72,2,9.09,25.70,4,8.95,25.88
1,8.88,34.42,3,9.29,35.01,2,9.14,34.84,4,9.24,35.12
1,8.99,43.405,3,9.13,44.139,2,9.26,44.091,4,9.35,44.462
