Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
1,12.97,12.97,3,13.19,13.19,5,13.47,13.47,4,13.36,13.36,2,12.99,12.99
3,10.51,23.48,2,10.21,23.40,4,10.06,23.53,1,9.91,23.27,5,24.67,37.66
3,10.21,33.69,2,10.16,33.56,4,10.25,33.78,1,10.18,33.45,5,10.85,48.51
3,10.04,43.73,2,10.06,43.62,4,10.06,43.84,1,10.06,43.51,5,10.65,59.16
2,9.71,53.44,1,9.68,53.30,4,9.76,53.60,3,10.00,53.51,5,11.01,1:10.17
1,9.51,1:02.95,2,9.82,1:03.12,3,9.61,1:03.21,4,9.89,1:03.40,5,12.44,1:22.61
1,9.43,1:12.38,2,9.46,1:12.58,3,9.49,1:12.70,4,9.55,1:12.95,5,11.72,1:34.33
1,9.55,1:21.93,2,9.50,1:22.08,3,9.53,1:22.23,4,9.46,1:22.41,5,11.89,1:46.22
1,9.73,1:31.654,0,,PEN,2,9.74,1:31.964,3,9.67,1:32.079,0,,PEN
