LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME
2,14.05,14.05,3,14.18,14.18,1,13.92,13.92,4,14.32,14.32
1,10.13,24.18,3,10.27,24.45,2,10.35,24.27,4,10.27,24.59
1,9.80,33.98,3,9.71,34.16,2,9.79,34.06,4,9.76,34.35
1,9.44,43.42,3,9.46,43.62,2,9.45,43.51,4,9.41,43.76
1,9.07,52.49,3,9.05,52.67,2,9.07,52.58,4,9.08,52.84
1,8.94,1:01.43,2,8.84,1:01.51,3,9.03,1:01.61,4,8.90,1:01.74
1,8.74,1:10.17,2,8.78,1:10.29,4,9.30,1:10.91,3,8.99,1:10.73
2,8.77,1:18.94,1,8.63,1:18.92,4,9.54,1:20.45,3,9.14,1:19.87
2,9.03,1:27.97,1,8.80,1:27.72,4,9.83,1:30.28,3,9.41,1:29.28
