OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME
2,6.92,6.92,3,7.13,7.13,1,6.71,6.71,5,7.48,7.48,4,7.27,7.27
2,8.88,15.80,4,8.99,16.12,1,8.91,15.62,5,8.96,16.44,3,8.74,16.01
3,8.40,24.20,4,8.37,24.49,1,8.52,24.14,5,8.45,24.89,2,8.15,24.16
3,8.71,32.91,4,8.51,33.00,2,8.76,32.90,5,8.54,33.43,1,8.63,32.79
5,9.44,42.35,3,9.07,42.07,2,8.81,41.71,4,8.87,42.30,1,8.89,41.68
