Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Helen HADDERS POSITION,Helen HADDERS LAP TIME,Helen HADDERS ELAPSED TIME,Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
2,8.897,8.897,3,8.919,8.919,1,8.740,8.740,5,9.066,9.066,4,9.055,9.055,6,9.190,9.190
3,11.853,20.750,5,12.201,21.119,2,12.007,20.747,1,11.537,20.603,4,11.734,20.788,6,11.974,21.164
2,11.095,31.844,4,10.949,32.067,5,11.371,32.118,1,11.176,31.778,3,11.071,31.858,6,11.090,32.253
2,11.652,43.495,4,11.709,43.776,6,11.897,44.014,1,11.585,43.362,3,11.868,43.725,5,11.540,43.793
2,11.687,55.182,4,11.591,55.366,6,11.512,55.526,1,11.658,55.020,3,11.472,55.197,5,11.694,55.487
2,11.545,1:06.727,4,11.681,1:07.047,6,11.626,1:07.151,3,11.712,1:06.732,1,11.447,1:06.644,5,11.603,1:07.089
1,10.492,1:17.218,2,10.379,1:17.426,4,10.831,1:17.981,6,27.527,1:34.258,5,26.532,1:33.175,3,10.456,1:17.544
1,10.608,1:27.826,2,10.548,1:27.973,4,10.512,1:28.492,6,16.909,1:51.166,5,12.072,1:45.247,3,10.597,1:28.141
1,10.766,1:38.591,2,10.770,1:38.742,4,10.777,1:39.268,6,14.296,2:05.462,5,11.286,1:56.533,3,10.747,1:38.887
1,10.952,1:49.543,3,11.103,1:49.844,4,11.071,1:50.339,6,14.303,2:19.764,5,11.370,2:07.903,2,10.931,1:49.818
1,10.586,2:00.128,2,10.339,2:00.183,4,11.077,2:01.416,6,12.429,2:32.193,5,12.170,2:20.073,3,10.411,2:00.229
2,9.860,2:09.987,3,10.055,2:10.238,4,11.280,2:12.696,6,11.556,2:43.748,5,11.543,2:31.615,1,9.692,2:09.920
2,9.827,2:19.813,3,10.424,2:20.661,4,11.902,2:24.598,6,11.817,2:55.565,5,11.761,2:43.376,1,9.775,2:19.695
2,10.56,2:30.371,3,10.92,2:31.573,4,12.49,2:37.084,0,,DQ,5,15.53,2:58.904,1,10.20,2:29.887
