TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME,LATVIA POSITION,LATVIA LAP TIME,LATVIA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME
3,12.76,12.76,2,12.61,12.61,1,12.28,12.28
3,9.23,21.99,2,9.33,21.94,1,9.31,21.59
2,8.94,30.93,3,9.24,31.18,1,9.24,30.83
2,9.25,40.18,3,9.26,40.44,1,9.14,39.97
2,9.27,49.45,3,9.63,50.07,1,9.12,49.09
2,9.32,58.77,3,9.40,59.47,1,9.15,58.24
2,9.25,1:08.02,3,9.20,1:08.67,1,9.34,1:07.58
2,9.12,1:17.14,3,9.07,1:17.74,1,9.15,1:16.73
2,9.05,1:26.19,3,9.09,1:26.83,1,9.38,1:26.11
2,9.40,1:35.59,3,9.28,1:36.11,1,9.41,1:35.52
1,8.98,1:44.57,3,9.72,1:45.83,2,9.13,1:44.65
2,9.90,1:54.47,3,9.48,1:55.31,1,9.01,1:53.66
2,9.19,2:03.66,3,9.20,2:04.51,1,9.21,2:02.87
2,9.33,2:12.99,3,9.13,2:13.64,1,9.13,2:12.00
2,9.07,2:22.06,3,9.31,2:22.95,1,9.30,2:21.30
2,9.46,2:31.52,3,9.41,2:32.36,1,9.19,2:30.49
2,9.57,2:41.09,3,9.64,2:42.00,1,9.48,2:39.97
2,9.65,2:50.74,3,10.01,2:52.01,1,9.41,2:49.38
2,9.42,3:00.16,3,9.56,3:01.57,1,9.14,2:58.52
2,9.34,3:09.50,3,9.39,3:10.96,1,9.07,3:07.59
2,9.22,3:18.72,3,9.47,3:20.43,1,9.31,3:16.90
1,9.71,3:28.43,2,9.70,3:30.13,3,15.85,3:32.75
1,9.49,3:37.92,2,10.03,3:40.16,3,9.55,3:42.30
1,10.39,3:48.31,2,9.54,3:49.70,3,9.00,3:51.30
1,9.54,3:57.85,2,9.37,3:59.07,3,9.12,4:00.42
1,9.37,4:07.22,2,9.57,4:08.64,3,9.47,4:09.89
1,9.37,4:16.59,2,10.04,4:18.68,3,10.10,4:19.974
