Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,14.234,14.234,1,14.037,14.037,4,14.496,14.496,3,14.379,14.379
2,11.030,25.263,1,11.146,25.182,4,11.015,25.511,3,10.974,25.352
3,10.320,35.583,1,10.298,35.480,4,10.233,35.744,2,10.217,35.569
3,9.846,45.428,2,9.783,45.263,4,9.770,45.514,1,9.556,45.124
3,9.518,54.945,2,9.665,54.927,4,9.607,55.120,1,9.663,54.787
2,9.930,1:04.874,3,9.970,1:04.897,4,9.898,1:05.017,1,9.915,1:04.701
3,9.834,1:14.708,4,9.859,1:14.755,2,9.592,1:14.609,1,9.907,1:14.608
1,9.168,1:23.876,4,9.530,1:24.285,2,9.439,1:24.047,3,9.491,1:24.099
1,9.48,1:33.354,4,9.50,1:33.777,2,9.46,1:33.503,3,9.64,1:33.738
