van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
1,7.44,7.44,2,7.52,7.52,3,7.63,7.63,4,7.75,7.75
1,10.17,17.61,4,10.26,17.78,3,10.07,17.70,2,9.91,17.66
2,9.53,27.14,4,9.59,27.37,3,9.53,27.23,1,9.46,27.12
3,9.58,36.72,2,9.33,36.70,1,9.20,36.43,4,9.66,36.78
3,9.57,46.282,2,9.37,46.063,1,9.20,45.621,4,9.57,46.346
