Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
4,10.13,10.13,2,10.02,10.02,6,10.29,10.29,5,10.22,10.22,1,9.99,9.99,2,10.02,10.02,7,10.44,10.44
7,13.52,23.65,6,13.49,23.51,5,13.16,23.45,1,12.78,23.00,2,13.14,23.13,3,13.21,23.23,4,12.91,23.35
6,11.26,34.91,3,11.14,34.65,1,10.97,34.42,2,11.55,34.55,3,11.52,34.65,5,11.54,34.77,6,11.56,34.91
5,9.97,44.88,1,10.06,44.71,3,10.35,44.77,4,10.27,44.82,2,10.10,44.75,6,10.19,44.96,7,10.18,45.09
4,10.10,54.98,3,10.16,54.87,1,9.95,54.72,7,10.65,55.47,2,10.03,54.78,5,10.14,55.10,6,10.10,55.19
4,10.59,1:05.57,1,10.49,1:05.36,2,10.66,1:05.38,7,10.46,1:05.93,3,10.65,1:05.43,5,10.59,1:05.69,6,10.62,1:05.81
3,9.98,1:15.55,1,10.01,1:15.37,4,10.19,1:15.57,7,10.11,1:16.04,2,10.04,1:15.47,5,10.04,1:15.73,6,10.03,1:15.84
3,10.07,1:25.62,1,10.06,1:25.43,6,10.30,1:25.87,7,10.02,1:26.06,2,10.06,1:25.53,4,10.01,1:25.74,5,10.02,1:25.86
3,9.99,1:35.61,1,9.99,1:35.42,6,10.09,1:35.96,7,10.11,1:36.17,2,9.98,1:35.51,4,9.99,1:35.73,5,9.95,1:35.81
3,9.78,1:45.39,1,9.80,1:45.22,6,9.84,1:45.80,7,9.87,1:46.04,2,9.80,1:45.31,4,9.76,1:45.49,5,9.79,1:45.60
3,9.64,1:55.03,1,9.63,1:54.85,6,9.80,1:55.60,7,10.08,1:56.12,2,9.61,1:54.92,4,9.70,1:55.19,5,9.70,1:55.30
3,9.39,2:04.42,2,9.43,2:04.28,6,10.21,2:05.81,7,10.60,2:06.72,1,9.35,2:04.27,5,9.50,2:04.69,4,9.37,2:04.67
2,9.34,2:13.76,3,9.58,2:13.86,6,10.81,2:16.62,7,11.12,2:17.84,1,9.36,2:13.63,5,9.69,2:14.38,4,9.35,2:14.02
2,9.36,2:23.12,3,9.35,2:23.21,6,11.28,2:27.905,7,11.51,2:29.352,1,9.45,2:23.08,5,10.27,2:24.65,4,9.35,2:23.37
