Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
2,7.18,7.18,1,7.02,7.02,3,7.27,7.27,4,7.41,7.41
3,8.91,16.09,1,8.96,15.98,2,8.81,16.08,4,8.94,16.35
3,8.59,24.68,2,8.55,24.53,1,8.34,24.42,4,8.61,24.96
3,8.67,33.35,2,8.74,33.27,1,8.76,33.18,4,8.79,33.75
3,9.09,42.433,2,8.85,42.114,1,8.83,42.006,4,8.92,42.668
