SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,9.19,9.19,3,9.29,9.29,6,9.58,9.58,1,9.07,9.07,4,9.47,9.47,5,9.57,9.57,7,9.80,9.80
2,13.15,22.34,4,13.22,22.51,5,13.16,22.74,1,13.26,22.33,3,13.00,22.47,6,13.30,22.87,7,13.26,23.06
1,11.19,33.53,4,11.37,33.88,5,11.29,34.03,2,11.30,33.63,3,11.29,33.76,6,11.27,34.14,7,11.22,34.28
1,11.03,44.56,4,10.98,44.86,6,11.03,45.06,2,11.00,44.63,3,10.99,44.75,7,11.01,45.15,5,10.68,44.96
2,11.06,55.62,7,11.19,56.05,6,10.95,56.01,1,10.91,55.54,3,10.98,55.73,5,10.78,55.93,4,10.87,55.83
4,10.58,1:06.20,6,10.26,1:06.31,2,10.02,1:06.03,1,10.43,1:05.97,3,10.36,1:06.09,7,10.55,1:06.48,5,10.46,1:06.29
6,10.21,1:16.41,5,10.09,1:16.40,1,10.07,1:16.10,3,10.28,1:16.25,2,10.07,1:16.16,7,10.06,1:16.54,4,10.04,1:16.33
5,10.39,1:26.80,7,10.84,1:27.24,1,10.29,1:26.39,3,10.31,1:26.56,2,10.31,1:26.47,6,10.37,1:26.91,4,10.34,1:26.67
5,10.06,1:36.86,7,9.72,1:36.96,1,10.23,1:36.62,3,10.20,1:36.76,2,10.25,1:36.72,4,9.90,1:36.81,6,10.23,1:36.90
7,9.86,1:46.72,5,9.48,1:46.44,2,9.52,1:46.14,4,9.56,1:46.32,1,9.23,1:45.95,3,9.37,1:46.18,6,9.55,1:46.45
7,8.77,1:55.49,6,9.04,1:55.48,4,9.02,1:55.16,3,8.71,1:55.03,1,8.87,1:54.82,2,8.74,1:54.92,5,8.84,1:55.29
6,8.69,2:04.18,7,9.03,2:04.51,5,8.90,2:04.06,2,8.65,2:03.68,1,8.71,2:03.53,3,8.77,2:03.69,4,8.61,2:03.90
6,8.90,2:13.08,7,9.24,2:13.75,5,8.98,2:13.04,2,8.48,2:12.16,1,8.45,2:11.98,4,8.86,2:12.55,3,8.62,2:12.52
5,9.09,2:22.177,7,9.74,2:23.497,6,9.38,2:22.427,2,8.58,2:20.74,1,8.56,2:20.54,4,9.26,2:21.81,3,8.42,2:20.94
