Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME
4,7.768,7.768,2,7.688,7.688,1,7.459,7.459,3,7.749,7.749
2,10.152,17.920,4,10.375,18.063,1,10.345,17.804,3,10.232,17.980
2,9.858,27.777,3,9.741,27.804,1,9.815,27.618,4,9.833,27.813
2,9.902,37.679,4,9.948,37.752,1,10.005,37.622,3,9.873,37.686
3,10.29,47.963,4,10.30,48.047,1,10.19,47.805,2,10.25,47.933
