KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME
1,6.807,6.807,2,6.897,6.897,3,7.047,7.047,5,7.588,7.588,4,7.256,7.256
2,9.473,16.280,1,8.958,15.855,3,9.247,16.294,5,9.696,17.284,4,9.356,16.611
2,9.079,25.358,1,9.149,25.004,3,9.210,25.503,5,9.573,26.856,4,9.088,25.699
2,9.343,34.700,1,9.386,34.389,3,9.230,34.733,5,9.780,36.635,4,9.324,35.022
3,9.69,44.381,1,9.82,44.208,2,9.58,44.308,5,10.20,46.830,4,9.75,44.771
