HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
1,13.86,13.86,2,13.97,13.97,3,14.09,14.09,5,14.35,14.35,4,14.26,14.26
1,11.19,25.05,2,11.22,25.19,3,11.21,25.30,5,11.03,25.38,4,11.10,25.36
1,10.21,35.26,2,10.17,35.36,4,10.33,35.63,3,10.23,35.61,5,10.36,35.72
1,10.27,45.53,2,10.27,45.63,3,10.18,45.81,4,10.31,45.92,5,10.26,45.98
1,10.43,55.96,2,10.43,56.06,4,10.44,56.25,5,10.41,56.33,3,10.23,56.21
2,10.16,1:06.12,1,9.84,1:05.90,3,10.11,1:06.36,4,10.11,1:06.44,5,10.43,1:06.64
2,9.67,1:15.79,1,9.66,1:15.56,3,9.92,1:16.28,4,9.97,1:16.41,5,10.10,1:16.74
2,9.73,1:25.52,1,9.65,1:25.21,3,10.26,1:26.54,4,10.41,1:26.82,5,10.33,1:27.07
2,9.92,1:35.431,1,9.77,1:34.981,3,10.29,1:36.829,4,10.79,1:37.601,5,10.92,1:37.987
