NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
2,13.11,13.11,1,13.02,13.02,3,13.15,13.15,4,13.22,13.22
2,9.89,23.00,3,10.11,23.13,1,9.78,22.93,4,10.03,23.25
1,9.89,32.89,3,9.90,33.03,2,9.96,32.89,4,9.92,33.17
3,9.43,42.32,1,9.11,42.14,2,9.35,42.24,4,9.29,42.46
3,9.42,51.74,1,9.36,51.50,2,9.31,51.55,4,9.41,51.87
2,9.05,1:00.79,1,9.19,1:00.69,3,9.31,1:00.86,4,9.07,1:00.94
2,9.29,1:10.08,1,9.31,1:10.00,3,9.39,1:10.25,4,9.47,1:10.41
1,9.12,1:19.20,2,9.42,1:19.42,3,9.47,1:19.72,4,9.49,1:19.90
1,9.19,1:28.381,2,9.44,1:28.860,4,9.90,1:29.620,3,9.46,1:29.352
