XU Fu POSITION,XU Fu LAP TIME,XU Fu ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
5,10.97,,3,10.82,10.82,7,11.27,,6,11.14,11.14,2,10.78,10.78,4,10.88,10.88,1,10.71,,8,11.41,11.41
5,14.27,,4,14.31,25.13,7,14.15,,6,14.22,25.36,3,14.21,24.99,2,13.99,24.87,1,14.05,,8,14.12,25.53
5,13.25,,4,13.33,38.46,8,13.54,,6,13.35,38.71,1,13.10,38.09,3,13.47,38.34,2,13.43,,7,13.33,38.86
5,12.05,,4,11.99,50.45,8,11.87,,6,11.84,50.55,1,12.24,50.33,2,12.00,50.34,3,12.16,,7,11.85,50.71
7,10.54,,3,10.35,1:00.80,5,10.13,,2,10.17,1:00.72,1,10.32,1:00.65,4,10.57,1:00.91,6,10.65,,8,10.47,1:01.18
6,9.96,,4,10.11,1:10.91,2,9.83,,3,10.14,1:10.86,1,10.01,1:10.66,8,10.35,1:11.26,5,9.93,,7,10.04,1:11.22
4,9.79,,8,10.29,1:21.20,2,9.80,,6,10.27,1:21.13,1,9.79,1:20.45,5,9.80,1:21.06,3,9.79,,7,9.95,1:21.17
4,9.49,,7,9.45,1:30.65,3,9.60,,6,9.39,1:30.52,1,9.55,1:30.00,5,9.36,1:30.42,2,9.36,,8,9.89,1:31.06
2,9.36,,7,9.38,1:40.03,1,9.30,,6,9.41,1:39.93,5,9.87,1:39.87,4,9.41,1:39.83,3,9.62,,8,9.82,1:40.88
2,9.55,,6,9.55,1:49.58,1,9.63,,5,9.55,1:49.48,7,9.90,1:49.77,3,9.54,1:49.37,4,9.69,,8,9.91,1:50.79
8,25.55,,5,9.47,1:59.05,2,9.61,,3,9.37,1:58.85,6,9.46,1:59.23,1,9.35,1:58.72,4,9.61,,7,10.14,2:00.93
8,16.39,,4,9.43,2:08.48,2,9.61,,3,9.55,2:08.40,6,9.55,2:08.78,1,9.57,2:08.29,5,9.64,,7,10.53,2:11.46
8,10.94,,3,9.62,2:18.10,2,9.73,,3,9.70,2:18.10,6,9.65,2:18.43,1,9.68,2:17.97,5,9.73,,7,10.87,2:22.33
8,15.28,2:57.39,3,9.76,2:27.860,2,9.49,,2,9.58,2:27.689,5,9.62,2:28.05,1,9.57,2:27.54,6,9.82,,5,11.07,2:33.403
