NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
3,12.53,12.53,1,12.19,12.19,2,12.32,12.32,4,12.64,12.64,5,12.75,12.75
3,9.81,22.34,1,9.89,22.08,2,9.87,22.19,4,9.76,22.40,5,9.73,22.48
3,9.75,32.09,1,9.92,32.00,2,9.82,32.01,4,9.86,32.26,5,9.89,32.37
1,9.05,41.14,4,9.40,41.40,2,9.26,41.27,3,9.13,41.39,5,9.19,41.56
1,9.02,50.16,4,9.24,50.64,2,8.97,50.24,3,9.05,50.44,5,9.20,50.76
1,8.85,59.01,4,8.96,59.60,2,8.88,59.12,3,8.77,59.21,5,8.94,59.70
1,8.86,1:07.87,5,9.13,1:08.73,2,8.88,1:08.00,3,8.87,1:08.08,4,8.96,1:08.66
1,9.01,1:16.88,5,9.64,1:18.37,3,9.14,1:17.14,2,8.94,1:17.02,4,9.36,1:18.02
1,9.30,1:26.173,5,9.92,1:28.287,3,9.54,1:26.673,2,9.34,1:26.358,4,9.88,1:27.894
