TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Renee Marie STEENGE POSITION,Renee Marie STEENGE LAP TIME,Renee Marie STEENGE ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,Gloria IORIATTI POSITION,Gloria IORIATTI LAP TIME,Gloria IORIATTI ELAPSED TIME
1,9.74,9.74,2,9.87,9.87,5,9.99,9.99,6,10.05,10.05,3,9.90,9.90,4,9.92,9.92
3,13.78,23.52,4,13.75,23.62,5,13.67,23.66,6,13.73,23.78,1,13.50,23.40,2,13.53,23.45
3,13.56,37.08,1,13.30,36.92,5,13.72,37.38,6,13.73,37.51,2,13.57,36.97,4,13.74,37.19
1,12.21,49.29,2,12.41,49.33,5,12.28,49.66,6,12.31,49.82,3,12.46,49.43,4,12.36,49.55
2,11.38,1:00.67,1,11.24,1:00.57,5,11.31,1:00.97,6,11.29,1:01.11,3,11.25,1:00.68,4,11.32,1:00.87
2,10.72,1:11.39,1,10.72,1:11.29,4,10.58,1:11.55,6,10.69,1:11.80,3,10.80,1:11.48,5,10.81,1:11.68
2,10.73,1:22.12,1,10.76,1:22.05,4,10.63,1:22.18,6,10.66,1:22.46,3,10.68,1:22.16,5,10.63,1:22.31
3,10.44,1:32.56,1,10.32,1:32.37,2,10.37,1:32.55,4,10.19,1:32.65,5,10.53,1:32.69,6,10.39,1:32.70
3,10.05,1:42.61,1,10.08,1:42.45,2,9.96,1:42.51,4,9.98,1:42.63,6,10.16,1:42.85,5,10.04,1:42.74
3,10.03,1:52.64,5,10.33,1:52.78,1,9.89,1:52.40,2,9.96,1:52.59,6,10.03,1:52.88,4,10.02,1:52.76
3,10.09,2:02.73,6,10.50,2:03.28,1,9.66,2:02.06,2,9.56,2:02.15,5,10.01,2:02.89,4,10.02,2:02.78
3,10.29,2:13.02,6,11.25,2:14.53,1,9.79,2:11.85,2,9.78,2:11.93,5,10.32,2:13.21,4,10.30,2:13.08
3,10.56,2:23.58,6,11.50,2:26.03,1,9.98,2:21.83,2,9.96,2:21.89,5,10.65,2:23.86,4,10.65,2:23.73
3,10.77,2:34.330,6,11.87,2:37.890,2,10.40,2:32.207,1,10.31,2:32.174,5,10.73,2:34.571,4,10.69,2:34.405
