Diana IVANOVA POSITION,Diana IVANOVA LAP TIME,Diana IVANOVA ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Odtsetseg NARANGEREL POSITION,Odtsetseg NARANGEREL LAP TIME,Odtsetseg NARANGEREL ELAPSED TIME
2,17.808,17.808,4,20.900,20.900,1,17.394,17.394,3,17.993,17.993
2,14.415,32.223,4,12.095,32.994,1,14.209,31.603,3,14.847,32.840
2,12.273,44.495,4,12.693,45.687,1,11.879,43.481,3,12.732,45.572
2,12.104,56.599,4,13.078,58.765,1,11.950,55.431,3,12.579,58.151
3,12.461,1:09.059,2,8.789,1:07.553,1,11.796,1:07.226,4,12.740,1:10.890
3,12.515,1:21.573,2,12.079,1:19.632,1,12.034,1:19.259,4,12.947,1:23.837
3,12.715,1:34.288,2,11.617,1:31.248,1,11.347,1:30.606,4,13.427,1:37.263
3,12.600,1:46.887,2,11.231,1:42.479,1,10.988,1:41.594,4,13.322,1:50.585
3,13.61,2:00.494,2,11.49,1:53.961,1,11.00,1:52.585,4,13.42,2:04.003
