Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
1,12.87,12.87,4,13.60,13.60,2,12.97,12.97,3,13.26,13.26
1,9.89,22.76,4,9.80,23.40,2,9.90,22.87,3,9.80,23.06
1,9.79,32.55,4,9.57,32.97,2,9.78,32.65,3,9.71,32.77
1,9.81,42.36,4,9.74,42.71,2,9.80,42.45,3,9.78,42.55
2,9.91,52.27,4,9.82,52.53,1,9.68,52.13,3,9.81,52.36
2,9.76,1:02.03,4,10.00,1:02.53,1,9.82,1:01.95,3,9.78,1:02.14
2,9.92,1:11.95,4,10.45,1:12.98,1,9.93,1:11.88,3,9.93,1:12.07
2,10.25,1:22.20,4,10.89,1:23.87,1,10.21,1:22.09,3,10.20,1:22.27
3,10.35,1:32.548,4,11.78,1:35.649,1,10.39,1:32.480,2,10.27,1:32.539
