Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
1,9.73,9.73,3,10.02,10.02,5,10.42,10.42,2,9.89,9.89,4,10.18,10.18
1,13.65,23.38,3,13.61,23.63,5,13.47,23.89,2,13.59,23.48,4,13.59,23.77
1,12.97,36.35,3,12.98,36.61,5,13.16,37.05,2,12.97,36.45,4,13.13,36.90
1,12.59,48.94,3,12.57,49.18,5,12.51,49.56,2,12.58,49.03,4,12.48,49.38
1,12.04,1:00.98,3,12.05,1:01.23,5,11.88,1:01.44,2,12.06,1:01.09,4,11.96,1:01.34
1,11.41,1:12.39,3,11.38,1:12.61,5,11.44,1:12.88,2,11.39,1:12.48,4,11.39,1:12.73
2,10.91,1:23.30,4,10.96,1:23.57,1,10.30,1:23.18,3,10.96,1:23.44,5,10.98,1:23.71
1,10.21,1:33.51,4,10.24,1:33.81,2,10.34,1:33.52,3,10.24,1:33.68,5,10.25,1:33.96
1,10.04,1:43.55,4,10.05,1:43.86,2,10.12,1:43.64,3,10.05,1:43.73,5,10.06,1:44.02
1,9.70,1:53.25,4,9.70,1:53.56,2,9.70,1:53.34,3,9.71,1:53.44,5,9.70,1:53.72
2,9.53,2:02.78,4,9.51,2:03.07,1,9.41,2:02.75,3,9.46,2:02.90,5,9.46,2:03.18
3,9.38,2:12.16,4,9.31,2:12.38,1,9.23,2:11.98,2,9.26,2:12.16,5,9.24,2:12.42
4,9.36,2:21.52,5,9.52,2:21.90,1,9.17,2:21.15,2,9.23,2:21.39,3,9.10,2:21.52
4,9.48,2:31.001,5,9.93,2:31.822,1,9.31,2:30.456,2,9.52,2:30.907,3,9.43,2:30.945
