DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,DALRYMPLE Georgie POSITION,DALRYMPLE Georgie LAP TIME,DALRYMPLE Georgie ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,13.74,13.74,1,13.58,13.58,4,13.88,13.88,2,13.69,13.69,5,14.04,14.04
3,10.47,24.21,1,10.45,24.03,4,10.41,24.29,2,10.43,24.12,5,10.35,24.39
4,10.61,34.82,1,10.53,34.56,5,10.64,34.93,3,10.56,34.68,1,10.17,34.56
4,9.74,44.56,3,9.74,44.30,5,9.71,44.64,2,9.60,44.28,1,9.67,44.23
4,9.80,54.36,3,9.93,54.23,5,9.83,54.47,2,9.79,54.07,1,9.75,53.98
4,9.86,1:04.22,3,9.84,1:04.07,5,9.85,1:04.32,2,9.88,1:03.95,1,9.87,1:03.85
4,10.15,1:14.37,3,9.83,1:13.90,5,10.06,1:14.38,2,9.86,1:13.81,1,9.85,1:13.70
5,10.60,1:24.97,3,9.98,1:23.88,4,10.09,1:24.47,2,9.94,1:23.75,1,9.96,1:23.66
5,10.82,1:35.79,3,9.97,1:33.85,4,10.41,1:34.88,2,9.88,1:33.63,1,9.87,1:33.53
