Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Kyle UYEHARA POSITION,Kyle UYEHARA LAP TIME,Kyle UYEHARA ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,8.80,8.80,5,9.19,9.19,6,9.34,9.34,3,8.93,8.93,4,9.03,9.03,1,8.64,8.64
2,13.17,21.97,5,13.13,22.32,6,13.11,22.45,3,13.13,22.06,4,13.14,22.17,1,13.18,21.82
1,13.43,35.40,6,13.53,35.85,5,13.27,35.72,4,13.50,35.56,3,13.38,35.55,2,13.60,35.42
1,12.33,47.73,5,12.36,48.21,6,12.50,48.22,3,12.38,47.94,4,12.49,48.04,2,12.49,47.91
1,10.42,58.15,2,9.95,58.16,6,10.30,58.52,3,10.29,58.23,4,10.27,58.31,5,10.48,58.39
4,9.42,1:07.57,1,9.23,1:07.39,6,9.45,1:07.97,2,9.25,1:07.48,3,9.25,1:07.56,5,9.42,1:07.81
4,9.88,1:17.45,1,9.75,1:17.14,6,9.72,1:17.69,2,9.74,1:17.22,3,9.76,1:17.32,5,9.77,1:17.58
4,9.85,1:27.30,1,9.86,1:27.00,6,9.84,1:27.53,2,9.86,1:27.08,3,9.83,1:27.15,5,9.80,1:27.38
5,9.96,1:37.26,1,9.76,1:36.76,6,9.84,1:37.37,2,9.81,1:36.89,3,9.98,1:37.13,4,9.78,1:37.16
5,9.59,1:46.85,1,9.55,1:46.31,6,9.60,1:46.97,2,9.50,1:46.39,3,9.37,1:46.50,4,9.56,1:46.72
5,9.33,1:56.18,1,9.56,1:55.87,6,9.36,1:56.33,2,9.53,1:55.92,4,9.52,1:56.02,3,9.28,1:56.00
3,9.34,2:05.52,1,9.45,2:05.32,6,9.45,2:05.78,2,9.46,2:05.38,4,9.54,2:05.56,5,9.61,2:05.61
3,9.33,2:14.85,2,9.50,2:14.82,6,9.45,2:15.23,1,9.30,2:14.68,4,9.31,2:14.87,5,9.48,2:15.09
3,9.60,2:24.446,5,10.23,2:25.049,4,9.74,2:24.967,2,9.56,2:24.235,1,9.36,2:24.222,0,,PEN
