CHANG Hyun Woo POSITION,CHANG Hyun Woo LAP TIME,CHANG Hyun Woo ELAPSED TIME,TALABOS Attila POSITION,TALABOS Attila LAP TIME,TALABOS Attila ELAPSED TIME,Mateusz MIKOLAJUK POSITION,Mateusz MIKOLAJUK LAP TIME,Mateusz MIKOLAJUK ELAPSED TIME,Peter RICHES POSITION,Peter RICHES LAP TIME,Peter RICHES ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME
2,12.31,12.31,3,12.41,12.41,1,11.98,11.98,4,12.50,12.50,5,12.71,12.71
2,9.25,21.56,3,9.26,21.67,1,9.10,21.08,4,9.50,22.00,5,9.41,22.12
2,9.05,30.61,3,9.09,30.76,1,9.21,30.29,4,9.01,31.01,5,9.10,31.22
2,9.09,39.70,3,9.07,39.83,1,9.29,39.58,4,9.03,40.04,5,9.12,40.34
1,9.15,48.85,3,9.25,49.08,2,9.41,48.99,4,9.19,49.23,5,9.53,49.87
1,9.19,58.04,3,9.51,58.59,2,9.57,58.56,4,9.57,58.80,5,10.49,1:00.36
1,9.27,1:07.31,2,9.06,1:07.65,4,9.77,1:08.33,3,9.49,1:08.29,5,11.03,1:11.39
1,9.40,1:16.71,2,9.24,1:16.89,4,10.09,1:18.42,3,9.56,1:17.85,5,11.29,1:22.68
1,9.54,1:26.25,2,9.52,1:26.41,4,10.29,1:28.716,3,9.58,1:27.43,5,11.49,1:34.175
