SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
3,8.93,8.93,4,8.98,8.98,2,8.73,8.73,1,8.46,8.46
1,13.75,22.68,4,13.83,22.81,3,14.08,22.81,2,14.25,22.71
3,11.90,34.58,4,12.03,34.85,1,11.66,34.48,2,11.79,34.50
3,10.50,45.08,4,10.49,45.34,2,10.48,44.96,1,10.44,44.95
0,,,3,9.92,55.27,1,10.19,55.15,2,10.20,55.16
2,0.00,1:05.25,3,10.00,1:05.27,4,10.13,1:05.28,1,10.06,1:05.22
1,10.14,1:15.39,4,10.26,1:15.53,2,10.10,1:15.39,3,10.24,1:15.46
3,10.27,1:25.67,4,10.23,1:25.77,1,10.25,1:25.64,2,10.17,1:25.64
2,9.89,1:35.56,4,9.95,1:35.72,1,9.87,1:35.52,3,9.99,1:35.63
1,9.61,1:45.18,4,9.59,1:45.32,2,9.66,1:45.18,3,9.63,1:45.26
1,9.21,1:54.40,4,9.29,1:54.61,2,9.26,1:54.45,3,9.30,1:54.57
2,9.27,2:03.67,3,9.07,2:03.68,1,9.19,2:03.65,4,9.12,2:03.70
3,9.31,2:12.98,4,9.33,2:13.02,1,9.22,2:12.87,2,9.18,2:12.88
3,9.51,2:22.489,1,9.45,2:22.463,2,9.60,2:22.465,4,9.97,2:22.847
