LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,6.97,6.97,1,6.90,6.90,3,7.14,7.14,4,7.27,7.27
2,9.02,15.99,1,8.91,15.81,3,8.97,16.11,4,9.04,16.31
2,8.53,24.52,1,8.59,24.40,3,8.53,24.64,4,8.70,25.01
4,18.95,43.47,1,8.65,33.05,2,8.43,33.07,3,8.75,33.76
4,30.30,1:13.766,1,8.83,41.876,2,9.16,42.229,3,9.15,42.902
