Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME
1,13.618,13.618,2,13.697,13.697,3,13.794,13.794,4,13.810,13.810
2,10.001,23.619,1,9.897,23.593,3,9.848,23.641,4,9.963,23.773
1,9.639,33.258,3,9.937,33.530,2,9.780,33.420,4,9.802,33.575
1,10.045,43.303,2,9.921,43.451,4,10.080,43.500,3,9.878,43.452
2,9.677,52.979,3,9.670,53.120,4,9.947,53.447,1,9.303,52.755
2,9.272,1:02.251,3,9.652,1:02.772,4,9.380,1:02.827,1,9.421,1:02.175
2,9.402,1:11.652,3,9.562,1:12.334,4,9.703,1:12.530,1,9.425,1:11.600
1,9.412,1:21.064,3,9.876,1:22.210,4,9.894,1:22.424,2,9.574,1:21.173
1,9.92,1:30.976,3,10.45,1:32.659,4,10.30,1:32.717,2,10.13,1:31.299
