Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
3,14.846,14.846,1,14.551,14.551,2,14.716,14.716,4,15.073,15.073
3,12.114,26.959,2,12.083,26.633,4,12.348,27.064,1,11.416,26.489
3,11.464,38.423,2,11.709,38.342,1,11.230,38.293,4,12.017,38.505
4,10.027,48.449,1,9.763,48.105,3,9.972,48.265,2,9.757,48.262
4,9.381,57.830,2,9.139,57.244,1,8.857,57.122,3,9.110,57.371
4,9.223,1:07.052,1,8.880,1:06.123,3,9.331,1:06.452,2,9.050,1:06.420
4,9.180,1:16.232,1,9.148,1:15.271,2,8.832,1:15.284,3,8.969,1:15.389
3,9.342,1:25.573,1,8.585,1:23.856,4,13.312,1:28.596,2,8.614,1:24.002
4,9.66,1:35.230,2,10.04,1:33.890,3,5.68,1:34.270,1,9.45,1:33.444
