Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
1,6.72,6.72,2,6.92,6.92,3,7.01,7.01,4,7.21,7.21
1,8.54,15.26,2,8.57,15.49,3,8.67,15.68,4,8.65,15.86
1,8.22,23.48,2,8.06,23.55,3,8.04,23.72,4,8.00,23.86
1,8.37,31.85,1,8.30,31.85,3,8.27,31.99,4,8.22,32.08
2,8.52,40.347,1,8.41,40.236,3,8.43,40.389,4,8.46,40.523
