DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
2,7.00,7.00,3,7.11,7.11,1,6.74,6.74,4,7.20,7.20
3,9.11,16.11,2,8.89,16.00,1,9.08,15.82,4,9.00,16.20
3,8.68,24.79,1,8.63,24.63,2,8.87,24.69,4,8.67,24.87
2,8.77,33.56,1,8.79,33.42,3,9.05,33.74,4,8.91,33.78
2,8.96,42.518,1,9.02,42.432,3,9.03,42.765,4,9.39,43.162
