Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME
1,14.66,14.66,2,14.80,14.80,4,15.02,15.02,3,14.90,14.90
1,11.07,25.73,2,11.05,25.85,4,10.96,25.98,3,11.07,25.97
1,10.25,35.98,3,10.21,36.06,2,10.05,36.03,4,10.21,36.18
2,9.72,45.70,3,9.79,45.85,1,9.57,45.60,4,9.82,46.00
2,9.46,55.16,3,9.52,55.37,1,9.55,55.15,4,9.49,55.49
1,9.13,1:04.29,3,9.20,1:04.57,2,9.35,1:04.50,4,9.21,1:04.70
1,9.25,1:13.54,2,9.16,1:13.73,3,9.38,1:13.88,4,9.36,1:14.06
1,9.37,1:22.91,2,9.24,1:22.97,3,9.42,1:23.30,4,9.39,1:23.45
1,9.66,1:32.554,2,9.68,1:32.626,3,9.40,1:32.686,4,9.65,1:33.078
