Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME
1,13.14,13.14,2,13.14,13.14,3,13.25,13.25,4,13.36,13.36
1,9.95,23.09,2,10.06,23.20,4,10.14,23.39,3,9.91,23.27
1,9.64,32.73,2,9.63,32.83,4,9.62,33.01,3,9.57,32.84
1,9.03,41.76,2,9.15,41.98,3,9.05,42.06,4,9.24,42.08
1,9.01,50.77,2,8.82,50.80,3,8.90,50.96,4,9.08,51.16
2,8.89,59.66,1,8.76,59.56,3,8.87,59.83,4,8.78,59.94
2,8.78,1:08.44,1,8.78,1:08.34,4,8.89,1:08.72,3,8.67,1:08.61
2,9.11,1:17.55,1,9.20,1:17.54,4,9.01,1:17.73,3,9.00,1:17.61
3,9.58,1:27.129,1,9.30,1:26.835,4,9.74,1:27.468,2,9.45,1:27.057
