Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME
1,6.97,6.97,2,7.32,7.32,4,7.41,7.41,3,7.38,7.38
1,9.44,16.42,2,9.44,16.76,3,9.64,17.06,4,10.06,17.45
1,9.03,25.46,2,9.04,25.81,3,8.96,26.03,4,9.18,26.63
1,9.19,34.65,2,9.07,34.88,3,9.03,35.06,4,9.48,36.12
2,9.52,44.165,1,9.28,44.158,3,9.53,44.582,4,10.57,46.686
