BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME
3,12.90,12.90,2,12.76,12.76,1,12.74,12.74,4,12.99,12.99,5,13.17,
3,10.03,22.93,1,9.94,22.70,2,10.06,22.80,4,10.13,23.12,5,10.06,
2,9.21,32.14,1,9.35,32.05,2,9.34,32.14,4,9.21,32.33,5,9.25,
2,9.19,41.33,1,9.17,41.22,3,9.29,41.43,4,9.23,41.56,5,9.19,
2,9.21,50.54,1,9.24,50.46,3,9.21,50.64,4,9.20,50.76,5,9.20,
2,9.20,59.74,1,9.15,59.61,3,9.18,59.82,4,9.19,59.95,5,9.11,
2,8.87,1:08.61,1,8.90,1:08.51,4,8.88,1:08.70,5,8.91,1:08.86,3,8.66,
4,8.69,1:17.30,1,8.65,1:17.16,3,8.59,1:17.29,5,8.60,1:17.46,2,8.59,
5,9.52,1:26.82,1,8.75,1:25.91,3,8.76,1:26.05,4,8.78,1:26.24,2,8.75,
