Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME
1,6.867,6.867,3,7.037,7.037,2,6.943,6.943,4,7.222,7.222
2,9.449,16.315,3,9.504,16.541,1,9.358,16.301,4,9.420,16.641
1,9.038,25.353,2,8.945,25.486,3,9.265,25.566,4,9.178,25.818
1,9.297,34.650,2,9.283,34.768,3,9.283,34.848,4,9.241,35.059
2,9.57,44.218,1,9.41,44.172,3,9.60,44.443,4,9.48,44.539
