Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
1,9.61,9.61,4,9.88,9.88,5,9.98,9.98,3,9.76,9.76,2,9.71,9.71
1,14.34,23.95,2,14.18,24.06,3,14.11,24.09,5,14.55,24.31,4,14.41,24.12
4,12.95,36.90,1,12.71,36.77,2,12.78,36.87,3,12.57,36.88,5,12.84,36.96
2,11.07,47.97,3,11.35,48.12,4,11.35,48.22,1,11.02,47.90,5,11.40,48.36
3,11.60,59.57,4,11.57,59.69,1,11.14,59.36,2,11.55,59.45,5,11.44,59.80
1,11.20,1:10.77,4,11.36,1:11.05,2,11.55,1:10.91,5,11.66,1:11.11,3,11.18,1:10.98
1,11.25,1:22.02,3,11.14,1:22.19,2,11.17,1:22.08,5,11.20,1:22.31,4,11.22,1:22.20
4,10.82,1:32.84,1,10.38,1:32.57,2,10.52,1:32.60,5,10.55,1:32.86,3,10.55,1:32.75
5,10.22,1:43.06,1,10.04,1:42.61,2,10.10,1:42.70,3,9.93,1:42.79,4,10.28,1:43.03
4,10.16,1:53.22,1,10.33,1:52.94,2,10.33,1:53.03,3,10.33,1:53.12,5,10.49,1:53.52
4,10.38,2:03.60,1,10.37,2:03.31,2,10.34,2:03.37,3,10.37,2:03.49,5,10.73,2:04.25
4,9.92,2:13.52,1,9.91,2:13.22,2,9.89,2:13.26,3,9.89,2:13.38,5,11.08,2:15.33
4,9.72,2:23.24,1,9.71,2:22.93,2,9.76,2:23.02,3,9.76,2:23.14,5,11.79,2:27.12
4,9.83,2:33.068,1,9.75,2:32.677,2,9.76,2:32.774,3,9.85,2:32.982,5,11.95,2:39.066
