CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,MA Wei POSITION,MA Wei LAP TIME,MA Wei ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
3,8.50,8.50,4,8.55,8.55,1,8.36,8.36,6,8.83,8.83,2,8.39,8.39,5,8.70,8.70,7,8.92,8.92
4,11.59,20.09,1,11.19,19.74,3,11.64,20.00,6,11.41,20.24,2,11.49,19.88,5,11.47,20.17,7,11.46,20.38
5,11.10,31.19,1,11.18,30.92,1,10.92,30.92,6,11.10,31.34,3,11.11,30.99,4,10.93,31.10,7,11.06,31.44
5,10.97,42.16,2,10.89,41.81,1,10.73,41.65,6,10.98,42.32,3,10.95,41.94,4,10.95,42.05,7,11.05,42.49
5,10.32,52.48,2,10.36,52.17,1,10.48,52.13,7,10.29,52.61,3,10.37,52.31,3,10.26,52.31,6,10.07,52.56
7,10.00,1:02.48,2,9.69,1:01.86,3,9.88,1:02.01,6,9.83,1:02.44,4,9.83,1:02.14,5,10.03,1:02.34,1,9.19,1:01.75
7,9.47,1:11.95,2,9.55,1:11.41,3,9.50,1:11.51,6,9.38,1:11.82,4,9.50,1:11.64,5,9.39,1:11.73,1,9.58,1:11.33
7,9.45,1:21.40,3,9.58,1:20.99,1,9.30,1:20.81,5,9.33,1:21.15,4,9.45,1:21.09,6,9.48,1:21.21,2,9.56,1:20.89
7,9.34,1:30.74,3,9.38,1:30.37,2,9.49,1:30.30,4,9.31,1:30.46,5,9.42,1:30.51,6,9.39,1:30.60,1,9.29,1:30.18
7,9.20,1:39.94,1,8.89,1:39.26,4,9.22,1:39.52,3,9.03,1:39.49,5,9.18,1:39.69,6,9.22,1:39.82,2,9.22,1:39.40
7,9.17,1:49.11,1,9.09,1:48.35,4,9.19,1:48.71,3,9.06,1:48.55,5,9.13,1:48.82,6,9.16,1:48.98,2,9.04,1:48.44
6,9.17,1:58.28,2,9.42,1:57.77,3,9.10,1:57.81,4,9.30,1:57.85,5,9.20,1:58.02,7,9.49,1:58.47,1,9.24,1:57.68
6,9.47,2:07.75,3,9.56,2:07.33,2,9.47,2:07.28,5,9.68,2:07.53,4,9.43,2:07.45,7,9.87,2:08.34,1,9.50,2:07.18
6,9.89,2:17.64,0,,PHOTO,3,9.80,2:17.08,5,9.81,2:17.34,4,9.70,2:17.15,7,10.65,2:18.99,0,,PHOTO
