Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
2,13.57,13.57,3,13.80,13.80,1,13.51,13.51,4,14.02,14.02
3,10.97,24.55,2,10.73,24.54,1,10.69,24.20,4,10.62,24.64
2,10.00,34.56,3,10.22,34.77,1,10.29,34.49,4,10.19,34.84
1,9.91,44.47,3,10.06,44.83,2,10.11,44.61,4,10.03,44.87
1,9.70,54.18,2,9.42,54.25,3,9.69,54.30,4,9.44,54.32
2,9.46,1:03.64,1,9.32,1:03.58,4,9.63,1:03.93,3,9.41,1:03.74
3,9.48,1:13.12,1,9.47,1:13.06,4,9.76,1:13.70,2,9.32,1:13.07
3,9.69,1:22.82,2,9.02,1:22.08,4,10.69,1:24.39,1,8.93,1:22.00
3,10.47,1:33.282,1,9.30,1:31.375,4,11.45,1:35.839,2,9.55,1:31.545
