Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,8.73,8.73,2,8.91,8.91,3,9.13,9.13,4,9.32,9.32,6,9.48,9.48,5,9.41,9.41
2,12.35,21.08,3,12.26,21.17,4,12.17,21.30,5,12.05,21.37,1,11.55,21.03,6,12.03,21.44
2,11.12,32.20,4,11.12,32.29,5,11.11,32.41,2,10.83,32.20,1,11.04,32.07,6,11.02,32.46
3,10.64,42.84,4,10.71,43.00,5,10.69,43.10,1,10.37,42.57,2,10.63,42.70,6,10.78,43.24
3,10.48,53.32,4,10.48,53.48,5,10.51,53.61,1,10.52,53.09,2,10.50,53.20,6,10.48,53.72
3,10.44,1:03.76,4,10.42,1:03.90,5,10.43,1:04.04,1,10.42,1:03.51,2,10.43,1:03.63,6,10.41,1:04.13
4,10.00,1:13.76,3,9.85,1:13.75,5,9.86,1:13.90,1,9.97,1:13.48,2,9.97,1:13.60,6,9.88,1:14.01
6,9.68,1:23.44,3,9.38,1:23.13,2,9.21,1:23.11,1,9.51,1:22.99,4,9.60,1:23.20,5,9.37,1:23.38
5,9.20,1:32.64,3,9.24,1:32.37,1,9.08,1:32.19,2,9.32,1:32.31,6,9.64,1:32.84,4,9.14,1:32.52
5,9.39,1:42.03,2,9.32,1:41.69,1,9.38,1:41.57,4,9.48,1:41.79,6,9.70,1:42.54,3,9.22,1:41.74
5,9.53,1:51.56,2,9.38,1:51.07,1,9.41,1:50.98,4,9.50,1:51.29,6,10.22,1:52.76,3,9.44,1:51.18
5,9.82,2:01.38,2,9.27,2:00.34,1,9.27,2:00.25,4,9.30,2:00.59,6,10.84,2:03.60,3,9.30,2:00.48
5,10.23,2:11.61,2,9.24,2:09.58,1,9.25,2:09.50,4,9.29,2:09.88,6,11.69,2:15.29,3,9.30,2:09.78
5,10.55,2:22.16,2,9.40,2:18.98,1,9.37,2:18.87,4,9.74,2:19.62,6,11.93,2:27.22,3,9.58,2:19.36
