Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
2,13.39,13.39,4,13.53,13.53,1,13.31,13.31,3,13.51,13.51,5,13.64,13.64
4,9.66,23.05,1,9.37,22.90,2,9.63,22.94,5,9.68,23.19,3,9.34,22.98
3,9.32,32.37,1,9.26,32.16,2,9.29,32.23,4,9.27,32.46,5,9.57,32.55
3,9.41,41.78,1,9.43,41.59,2,9.42,41.65,4,9.44,41.90,5,9.48,42.03
3,9.34,51.12,1,9.32,50.91,2,9.35,51.00,4,9.31,51.21,5,9.28,51.31
3,9.15,1:00.27,1,9.15,1:00.06,2,9.15,1:00.15,4,9.17,1:00.38,5,9.18,1:00.49
3,8.99,1:09.26,2,9.17,1:09.23,1,9.04,1:09.19,4,9.08,1:09.46,5,9.14,1:09.63
2,8.94,1:18.20,3,9.35,1:18.58,1,8.86,1:18.05,3,9.12,1:18.58,5,9.27,1:18.90
2,9.05,1:27.25,4,9.77,1:28.359,1,9.17,1:27.22,3,9.67,1:28.251,5,9.67,1:28.573
