EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME
2,15.04,15.04,3,15.10,15.10,1,14.93,14.93,4,15.15,15.15
3,10.43,25.47,1,10.23,25.33,2,10.44,25.37,4,10.42,25.57
3,10.05,35.52,1,10.11,35.44,2,10.14,35.51,4,10.15,35.72
2,9.88,45.40,1,9.94,45.38,3,10.06,45.57,4,10.05,45.77
1,9.44,54.84,2,9.61,54.99,3,9.44,55.01,4,9.77,55.54
2,9.23,1:04.07,3,9.37,1:04.36,1,9.05,1:04.06,4,9.90,1:05.44
2,9.25,1:13.32,3,9.32,1:13.68,1,9.17,1:13.23,4,10.09,1:15.53
2,9.37,1:22.69,3,9.36,1:23.04,1,9.38,1:22.61,4,10.48,1:26.01
2,9.74,1:32.438,3,9.52,1:32.560,1,9.75,1:32.362,4,10.83,1:36.849
