ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,PIERRE-GILLES Jordan POSITION,PIERRE-GILLES Jordan LAP TIME,PIERRE-GILLES Jordan ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME
2,7.00,7.00,4,7.21,7.21,1,6.87,6.87,3,7.07,,5,7.24,7.24
2,8.94,15.94,5,9.06,16.27,1,8.99,15.86,3,8.99,,4,8.95,16.19
4,8.95,24.89,4,8.62,24.89,1,8.54,24.40,2,8.58,,3,8.53,24.72
5,8.87,33.76,4,8.76,33.65,1,8.64,33.04,2,8.58,,3,8.68,33.40
5,8.85,42.61,4,8.76,42.41,1,8.88,41.92,2,8.80,,3,8.71,42.11
