YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,YU Songnan POSITION,YU Songnan LAP TIME,YU Songnan ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
1,12.41,12.41,4,12.82,12.82,3,12.67,,2,12.50,12.50
2,9.58,21.99,4,9.38,22.20,3,9.42,,1,9.34,21.84
2,9.34,31.33,4,9.31,31.51,3,9.34,,1,9.36,31.20
2,9.28,40.61,3,9.19,40.70,4,9.29,,1,9.30,40.50
2,9.14,49.75,3,9.13,49.83,4,9.13,,1,9.13,49.63
1,8.92,58.67,3,9.11,58.94,4,9.15,,2,9.14,58.77
1,8.86,1:07.53,4,9.09,1:08.03,3,8.85,,2,8.97,1:07.74
1,8.99,1:16.52,4,9.07,1:17.10,3,9.04,,2,8.91,1:16.65
1,9.15,1:25.67,4,9.20,1:26.30,3,9.14,,2,9.15,1:25.80
