Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
1,12.90,12.90,2,12.97,12.97,3,13.05,13.05,4,13.16,13.16
2,10.18,23.08,3,10.23,23.20,1,9.86,22.91,4,10.13,23.29
1,9.94,33.02,4,9.91,33.11,2,10.13,33.04,3,9.82,33.11
1,9.88,42.90,4,10.06,43.17,2,9.94,42.98,3,9.96,43.07
2,10.04,52.94,3,9.85,53.02,4,10.09,53.07,1,9.78,52.85
2,9.73,1:02.67,3,9.76,1:02.78,4,9.80,1:02.87,1,9.71,1:02.56
1,9.79,1:12.46,3,9.91,1:12.69,4,9.91,1:12.78,2,10.01,1:12.57
2,10.05,1:22.51,3,9.98,1:22.67,4,10.00,1:22.78,1,9.94,1:22.51
2,9.84,1:32.347,3,9.84,1:32.505,4,9.85,1:32.629,1,9.75,1:32.253
