Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,KIM Byungjoon POSITION,KIM Byungjoon LAP TIME,KIM Byungjoon ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
3,10.18,10.18,5,10.48,10.48,1,9.66,9.66,2,9.85,9.85,4,10.26,10.26,6,10.63,10.63
3,14.48,24.66,4,14.26,24.74,1,14.58,24.24,2,14.53,24.38,5,14.49,24.75,6,14.26,24.89
4,13.83,38.49,5,13.89,38.63,1,13.73,37.97,2,13.85,38.23,6,13.94,38.69,3,13.48,38.37
4,12.78,51.27,5,12.80,51.43,1,12.84,50.81,2,12.74,50.97,6,12.93,51.62,3,12.76,51.13
5,12.27,1:03.54,4,12.04,1:03.47,1,12.28,1:03.09,2,12.26,1:03.23,6,12.16,1:03.78,3,12.31,1:03.44
5,11.43,1:14.97,3,11.33,1:14.80,1,11.52,1:14.61,2,11.47,1:14.70,6,11.28,1:15.06,4,11.45,1:14.89
5,11.51,1:26.48,3,11.44,1:26.24,1,11.35,1:25.96,2,11.37,1:26.07,6,11.59,1:26.65,4,11.49,1:26.38
5,10.47,1:36.95,1,10.43,1:36.67,3,10.83,1:36.79,4,10.79,1:36.86,6,10.46,1:37.11,2,10.38,1:36.76
5,17.54,1:54.49,1,9.89,1:46.56,4,10.03,1:46.82,3,9.85,1:46.71,6,20.16,1:57.27,2,9.90,1:46.66
5,14.33,2:08.82,1,9.74,1:56.30,4,9.82,1:56.64,3,9.80,1:56.51,6,23.26,2:20.53,2,9.76,1:56.42
5,11.48,2:20.30,1,9.77,2:06.07,4,9.76,2:06.40,3,9.75,2:06.26,6,14.87,2:35.40,2,9.74,2:06.16
5,11.11,2:31.41,1,9.71,2:15.78,4,9.78,2:16.18,3,9.80,2:16.06,6,14.79,2:50.19,2,9.77,2:15.93
5,11.37,2:42.78,1,9.57,2:25.35,4,9.64,2:25.82,3,9.47,2:25.53,6,14.17,3:04.36,2,9.51,2:25.44
4,11.44,2:54.220,1,9.54,2:34.884,3,10.07,2:35.887,0,,PEN,5,14.14,3:18.495,2,9.99,2:35.423
