Mike KOOREMAN POSITION,Mike KOOREMAN LAP TIME,Mike KOOREMAN ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
3,8.949,8.949,2,8.767,8.767,5,9.157,9.157,1,8.660,8.660,4,9.063,9.063
3,13.105,22.053,2,13.076,21.842,4,13.028,22.184,1,13.075,21.734,5,13.134,22.196
1,11.781,33.833,4,12.218,34.060,3,11.809,33.993,2,12.102,33.836,5,11.930,34.126
2,10.798,44.631,1,10.534,44.593,4,10.877,44.870,3,10.891,44.727,5,10.828,44.953
1,10.630,55.260,3,10.781,55.374,2,10.505,55.374,4,10.776,55.503,5,10.785,55.738
2,11.022,1:06.281,4,10.999,1:06.373,3,10.989,1:06.363,5,10.985,1:06.487,1,10.538,1:06.275
3,10.465,1:16.745,5,10.601,1:16.973,4,10.489,1:16.852,2,10.241,1:16.728,1,10.365,1:16.640
1,9.730,1:26.475,5,10.042,1:27.015,4,9.887,1:26.739,3,9.956,1:26.684,2,10.034,1:26.674
1,9.772,1:36.247,5,9.610,1:36.624,4,9.770,1:36.509,3,9.730,1:36.414,2,9.669,1:36.342
1,9.531,1:45.777,4,9.465,1:46.089,5,9.596,1:46.105,3,9.516,1:45.929,2,9.574,1:45.915
1,9.437,1:55.214,5,9.594,1:55.683,3,9.229,1:55.333,4,9.452,1:55.381,2,9.357,1:55.272
4,9.627,2:04.840,5,9.340,2:05.023,3,9.388,2:04.721,1,9.190,2:04.570,2,9.419,2:04.691
4,9.430,2:14.269,5,9.538,2:14.561,3,9.325,2:14.045,2,9.420,2:13.990,1,9.254,2:13.945
4,9.96,2:24.226,5,10.24,2:24.799,1,9.41,2:23.452,3,9.86,2:23.843,2,9.54,2:23.483
