POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,BELARUS POSITION,BELARUS LAP TIME,BELARUS ELAPSED TIME
1,12.28,12.28,2,12.49,12.49,3,12.58,12.58,4,12.71,12.71
1,9.23,21.51,2,9.22,21.71,3,9.23,21.81,4,9.24,21.95
1,9.52,31.03,3,9.42,31.13,2,9.26,31.07,4,9.31,31.26
2,9.15,40.18,3,9.44,40.57,1,9.01,40.08,4,9.41,40.67
2,9.05,49.23,3,8.83,49.40,1,8.93,49.01,4,9.04,49.71
2,9.08,58.31,3,9.00,58.40,1,9.22,58.23,4,8.87,58.58
2,9.11,1:07.42,3,9.25,1:07.65,1,9.06,1:07.29,4,9.31,1:07.89
2,8.79,1:16.21,3,8.68,1:16.33,1,8.73,1:16.02,4,8.92,1:16.81
2,8.80,1:25.01,3,8.81,1:25.14,1,8.92,1:24.94,4,8.69,1:25.50
2,8.95,1:33.96,3,8.97,1:34.11,1,8.90,1:33.84,4,8.93,1:34.43
3,9.00,1:42.96,2,8.84,1:42.95,1,9.00,1:42.84,4,8.82,1:43.25
3,8.97,1:51.93,2,8.87,1:51.82,1,8.90,1:51.74,4,8.90,1:52.15
3,8.93,2:00.86,2,8.87,2:00.69,1,8.87,2:00.61,4,9.20,2:01.35
3,8.70,2:09.56,2,8.72,2:09.41,1,8.68,2:09.29,4,8.96,2:10.31
3,8.73,2:18.29,2,8.84,2:18.25,1,8.88,2:18.17,4,8.72,2:19.03
2,8.91,2:27.20,3,9.07,2:27.32,1,8.94,2:27.11,4,8.93,2:27.96
2,9.01,2:36.21,3,9.04,2:36.36,1,9.01,2:36.12,4,8.93,2:36.89
2,9.00,2:45.21,3,8.98,2:45.34,1,8.98,2:45.10,4,8.83,2:45.72
3,9.07,2:54.28,2,8.89,2:54.23,1,8.99,2:54.09,4,9.05,2:54.77
3,9.00,3:03.28,2,8.95,3:03.18,1,8.97,3:03.06,4,9.00,3:03.77
3,8.97,3:12.25,2,8.97,3:12.15,1,8.99,3:12.05,4,8.84,3:12.61
3,9.02,3:21.27,2,9.05,3:21.20,1,8.65,3:20.70,4,9.07,3:21.68
3,9.16,3:30.43,2,9.12,3:30.32,1,9.53,3:30.23,4,8.95,3:30.63
3,9.01,3:39.44,2,9.00,3:39.32,1,9.01,3:39.24,4,8.94,3:39.57
3,9.04,3:48.48,2,9.02,3:48.34,1,9.01,3:48.25,4,9.17,3:48.74
4,16.36,4:04.84,2,8.96,3:57.30,1,8.92,3:57.17,3,9.14,3:57.88
4,9.15,4:13.99,2,8.96,4:06.26,1,8.96,4:06.13,3,8.95,4:06.83
4,8.90,4:22.89,2,9.02,4:15.28,1,9.03,4:15.16,3,9.34,4:16.17
4,9.71,4:32.60,1,8.89,4:24.17,2,9.15,4:24.31,3,9.16,4:25.33
4,9.77,4:42.37,1,8.76,4:32.93,2,8.86,4:33.17,3,9.18,4:34.51
4,9.14,4:51.51,1,9.24,4:42.17,2,9.07,4:42.24,3,9.41,4:43.92
4,9.07,5:00.58,1,9.07,4:51.24,2,9.08,4:51.32,3,9.33,4:53.25
4,9.66,5:10.24,1,8.96,5:00.20,2,8.98,5:00.30,3,9.05,5:02.30
4,9.38,5:19.62,1,9.13,5:09.33,2,9.10,5:09.40,3,9.47,5:11.77
4,9.69,5:29.31,1,8.90,5:18.23,2,9.13,5:18.53,3,9.33,5:21.10
4,9.57,5:38.88,1,8.75,5:26.98,2,8.98,5:27.51,3,9.33,5:30.43
4,9.10,5:47.98,1,8.80,5:35.78,2,8.91,5:36.42,3,9.52,5:39.95
4,9.30,5:57.28,1,8.81,5:44.59,2,8.76,5:45.18,3,9.49,5:49.44
4,9.78,6:07.06,1,8.69,5:53.28,2,8.85,5:54.03,3,9.18,5:58.62
4,9.92,6:16.98,1,8.99,6:02.27,2,8.89,6:02.92,3,9.54,6:08.16
4,10.17,6:27.15,1,8.84,6:11.11,2,9.24,6:12.16,3,9.52,6:17.68
4,10.10,6:37.25,1,8.49,6:19.60,2,9.12,6:21.28,3,9.38,6:27.06
4,9.86,6:47.11,1,8.74,6:28.34,2,9.09,6:30.37,3,9.61,6:36.67
4,9.46,6:56.57,1,8.86,6:37.20,2,8.83,6:39.20,3,9.47,6:46.14
4,9.98,7:06.532,1,9.34,6:46.524,2,9.10,6:48.286,3,9.52,6:55.653
