Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
3,12.99,12.99,2,12.89,12.89,1,12.82,12.82,4,13.05,13.05
4,9.97,22.96,3,9.93,22.82,2,9.87,22.69,1,9.54,22.59
4,9.55,32.51,3,9.59,32.41,2,9.63,32.32,1,9.60,32.19
4,9.13,41.64,3,9.09,41.50,1,8.98,41.30,2,9.30,41.49
3,8.94,50.58,2,9.01,50.51,1,9.12,50.42,4,9.14,50.63
3,9.02,59.60,2,9.01,59.52,1,9.01,59.43,4,9.21,59.84
2,8.90,1:08.50,3,9.00,1:08.52,1,8.99,1:08.42,4,9.15,1:08.99
2,8.87,1:17.37,3,8.97,1:17.49,1,8.82,1:17.24,4,9.55,1:18.54
3,9.03,1:26.396,2,8.73,1:26.219,1,8.82,1:26.055,4,10.37,1:28.909
