Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Aliaksandr VOLKAU POSITION,Aliaksandr VOLKAU LAP TIME,Aliaksandr VOLKAU ELAPSED TIME,SUI Xin POSITION,SUI Xin LAP TIME,SUI Xin ELAPSED TIME,Joshua KAH POSITION,Joshua KAH LAP TIME,Joshua KAH ELAPSED TIME,Bartosz BIELECKI POSITION,Bartosz BIELECKI LAP TIME,Bartosz BIELECKI ELAPSED TIME
3,10.35,10.35,1,10.22,10.22,2,10.32,10.32,6,10.84,10.84,5,10.67,10.67,4,10.53,10.53
2,13.13,23.48,1,13.17,23.39,4,13.26,23.58,6,13.10,23.94,3,12.84,23.51,5,13.14,23.67
3,10.82,34.30,4,10.97,34.36,1,10.60,34.18,6,10.87,34.81,2,10.70,34.21,5,10.85,34.52
3,9.77,44.07,4,9.81,44.17,1,9.61,43.79,6,9.66,44.47,2,9.70,43.91,5,9.76,44.28
3,9.89,53.96,4,9.87,54.04,1,9.96,53.75,6,9.77,54.24,2,9.96,53.87,5,9.85,54.13
3,10.02,1:03.98,4,10.05,1:04.09,1,10.07,1:03.82,6,10.03,1:04.27,2,10.05,1:03.92,5,10.04,1:04.17
3,10.16,1:14.14,5,10.13,1:14.22,1,10.12,1:13.94,6,10.12,1:14.39,2,10.11,1:14.03,4,10.03,1:14.20
3,9.50,1:23.64,4,9.43,1:23.65,2,9.63,1:23.57,6,9.47,1:23.86,1,9.43,1:23.46,5,9.55,1:23.75
1,9.13,1:32.77,3,9.20,1:32.85,4,9.43,1:33.00,6,9.31,1:33.17,1,9.31,1:32.77,5,9.34,1:33.09
1,9.28,1:42.05,2,9.29,1:42.14,4,9.45,1:42.45,6,9.42,1:42.59,3,9.39,1:42.16,5,9.38,1:42.47
1,9.43,1:51.48,1,9.34,1:51.48,6,10.20,1:52.65,5,9.29,1:51.88,3,9.61,1:51.77,3,9.30,1:51.77
2,9.66,2:01.14,1,9.54,2:01.02,6,10.90,2:03.55,4,9.55,2:01.43,5,10.27,2:02.04,3,9.57,2:01.34
2,9.61,2:10.75,1,9.62,2:10.64,6,11.55,2:15.10,4,9.73,2:11.16,5,10.59,2:12.63,3,9.78,2:11.12
2,9.83,2:20.58,1,9.83,2:20.47,6,12.19,2:27.262,3,9.69,2:20.85,5,11.13,2:23.733,4,10.56,2:21.646
