SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,DANDJINOU William POSITION,DANDJINOU William LAP TIME,DANDJINOU William ELAPSED TIME,Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME
2,6.84,6.84,1,6.72,6.72,3,6.94,6.94,5,7.34,7.34,4,7.09,7.09
2,8.80,15.64,1,8.78,15.50,3,8.75,15.69,5,8.91,16.25,4,8.71,15.80
2,8.32,23.96,1,8.38,23.88,5,9.17,24.86,4,8.60,24.85,3,8.77,24.57
1,8.45,32.41,1,8.53,32.41,5,8.91,33.77,4,8.52,33.37,3,8.67,33.24
1,8.94,41.35,2,9.02,41.43,5,9.06,42.830,4,8.82,42.198,3,8.84,42.084
