Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,7.17,7.17,3,14.23,14.23,1,6.88,6.88
1,9.45,16.62,3,14.06,28.29,2,9.83,16.71
1,9.01,25.63,3,20.85,49.14,2,9.00,25.72
1,9.12,34.75,3,11.39,1:00.53,2,9.28,35.00
1,9.63,44.375,3,0.19,1:00.717,2,9.60,44.594
